R2-USB,152.68,43.76,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,144.15,41.58,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,128.59,38.33,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,75.61,35.61,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,63.22,-2.21,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.02,-3.03,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,125.62,-0.41,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,125.41,2.59,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,125.40,5.89,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,125.19,8.99,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,125.69,-3.72,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.95,97.75,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,27.85,97.54,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,83.85,50.99,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,67.57,97.58,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,77.58,11.30,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,52.47,97.61,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.62,6.20,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,61.78,-7.46,0.00,,SJ
TP1,11.94,55.35,0.00,TPTP20R,TP20R
TP10,17.44,13.11,0.00,TPTP20R,TP20R
TP11,14.69,10.55,0.00,TPTP20R,TP20R
TP12,84.51,96.51,270.00,TPTP20R,TP20R
TP13,74.71,91.16,270.00,TPTP20R,TP20R
TP14,111.74,51.43,0.00,TPTP20R,TP20R
TP15,11.79,-6.37,0.00,TPTP20R,TP20R
TP16,162.34,23.73,0.00,TPTP20R,TP20R
TP17,75.44,-7.45,0.00,TPTP20R,TP20R
TP2,15.94,58.37,0.00,TPTP20R,TP20R
TP3,100.92,51.47,0.00,TPTP20R,TP20R
TP4,84.40,90.97,0.00,TPTP20R,TP20R
TP5,6.48,96.17,0.00,TPTP20R,TP20R
TP6,16.54,92.49,0.00,TPTP20R,TP20R
TP7,24.22,-6.11,0.00,TPTP20R,TP20R
TP8,18.30,-6.21,0.00,TPTP20R,TP20R
TP9,19.08,58.19,0.00,TPTP20R,TP20R
U1,43.43,37.81,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.23,35.35,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.10,43.63,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,94.13,45.73,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,128.06,44.04,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
